Date,WTI Expiration Calendar,WTI F_1,WTI F_2,WTI_F4,"Event (1= roll, 2=expiration, 0=regular day)",Dates in between roll and expiry,Transaction Costs,dF(t)=F(t)-F(t-1),Spot Equity Line, Rolling Futures ,Futures Equity Line
9/26/22,, $76.71 , $76.18 ,74.61,0,0, $-   , $(2.03), $76.71 , $(2.03), $31.61 
9/27/22,, $78.50 , $77.81 ,75.98,0,0, $-   , $1.79 , $78.50 , $1.79 , $33.40 
9/28/22,, $82.15 , $81.24 ,79.09,0,0, $-   , $3.65 , $82.15 , $3.65 , $37.05 
9/29/22,, $81.23 , $80.42 ,78.3,0,0, $-   , $(0.92), $81.23 , $(0.92), $36.13 
9/30/22,, $79.49 , $78.72 ,76.63,0,0, $-   , $(1.74), $79.49 , $(1.74), $34.39 
10/3/22,, $83.63 , $82.70 ,79.96,0,0, $-   , $4.14 , $83.63 , $4.14 , $38.53 
10/4/22,, $86.52 , $85.50 ,82.71,0,0, $-   , $2.89 , $86.52 , $2.89 , $41.42 
10/5/22,, $87.76 , $86.84 ,84.42,0,0, $-   , $1.24 , $87.76 , $1.24 , $42.66 
10/6/22,, $88.45 , $87.59 ,85.3,0,0, $-   , $0.69 , $88.45 , $0.69 , $43.35 
10/7/22,, $92.64 , $91.35 ,88.3,0,0, $-   , $4.19 , $92.64 , $4.19 , $47.54 
10/10/22,, $91.13 , $89.84 ,86.88,0,0, $-   , $(1.51), $91.13 , $(1.51), $46.03 
10/11/22,, $89.35 , $87.97 ,85.1,0,0, $-   , $(1.78), $89.35 , $(1.78), $44.25 
10/12/22,, $87.27 , $86.06 ,83.35,0,0, $-   , $(2.08), $87.27 , $(2.08), $42.17 
10/13/22,, $89.11 , $87.95 ,85.25,1,1, $0.02 , $1.84 , $89.11 , $1.84 , $43.99 
10/14/22,, $85.61 , $84.65 ,82.29,0,2, $-   , $(3.50), $85.61 , $(3.30), $40.69 
10/17/22,, $85.46 , $84.53 ,82.31,0,3, $-   , $(0.15), $85.46 , $(0.12), $40.57 
10/18/22,, $82.82 , $82.07 ,80.36,0,4, $-   , $(2.64), $82.82 , $(2.46), $38.11 
10/19/22,, $85.55 , $84.52 ,82.25,0,5, $-   , $2.73 , $85.55 , $2.45 , $40.56 
10/20/22,, $85.98 , $84.51 ,81.99,2,0, $-   , $0.43 , $85.98 , $(0.01), $40.55 
10/21/22,, $85.05 , $83.95 ,81.43,0,0, $-   , $(0.93), $85.05 , $0.54 , $41.09 
10/24/22,, $84.58 , $83.59 ,81.25,0,0, $-   , $(0.47), $84.58 , $(0.47), $40.62 
10/25/22,, $85.32 , $84.31 ,82.05,0,0, $-   , $0.74 , $85.32 , $0.74 , $41.36 
10/26/22,, $87.91 , $86.68 ,84.05,0,0, $-   , $2.59 , $87.91 , $2.59 , $43.95 
10/27/22,, $89.08 , $87.83 ,85.06,0,0, $-   , $1.17 , $89.08 , $1.17 , $45.12 
10/28/22,, $87.90 , $86.61 ,83.83,0,0, $-   , $(1.18), $87.90 , $(1.18), $43.94 
10/31/22,, $86.53 , $85.40 ,82.88,0,0, $-   , $(1.37), $86.53 , $(1.37), $42.57 
11/1/22,, $88.37 , $87.19 ,84.53,0,0, $-   , $1.84 , $88.37 , $1.84 , $44.41 
11/2/22,, $90.00 , $88.86 ,86.27,0,0, $-   , $1.63 , $90.00 , $1.63 , $46.04 
11/3/22,, $88.17 , $87.18 ,84.87,0,0, $-   , $(1.83), $88.17 , $(1.83), $44.21 
11/4/22,, $92.61 , $91.45 ,88.83,0,0, $-   , $4.44 , $92.61 , $4.44 , $48.65 
11/7/22,, $91.79 , $90.73 ,88.38,0,0, $-   , $(0.82), $91.79 , $(0.82), $47.83 
11/8/22,, $88.91 , $88.00 ,85.91,0,0, $-   , $(2.88), $88.91 , $(2.88), $44.95 
11/9/22,, $85.83 , $85.00 ,83.02,0,0, $-   , $(3.08), $85.83 , $(3.08), $41.87 
11/10/22,, $86.47 , $85.66 ,83.7,0,0, $-   , $0.64 , $86.47 , $0.64 , $42.51 
11/11/22,, $88.96 , $88.16 ,86.14,0,0, $-   , $2.49 , $88.96 , $2.49 , $45.00 
11/14/22,, $85.87 , $85.16 ,83.52,1,1, $0.02 , $(3.09), $85.87 , $(3.09), $41.89 
11/15/22,, $86.92 , $86.25 ,84.77,0,2, $-   , $1.05 , $86.92 , $1.09 , $42.98 
11/16/22,, $85.59 , $85.00 ,83.52,0,3, $-   , $(1.33), $85.59 , $(1.25), $41.73 
11/17/22,, $81.64 , $81.40 ,80.67,0,4, $-   , $(3.95), $81.64 , $(3.60), $38.13 
11/18/22,, $80.08 , $80.11 ,79.49,0,5, $-   , $(1.56), $80.08 , $(1.29), $36.84 
11/21/22,, $79.73 , $80.04 ,79.72,2,0, $-   , $(0.35), $79.73 , $(0.07), $36.77 
11/22/22,, $80.95 , $80.73 ,80.14,0,0, $-   , $1.22 , $80.95 , $0.91 , $37.68 
11/23/22,, $77.94 , $78.07 ,78.05,0,0, $-   , $(3.01), $77.94 , $(3.01), $34.67 
11/25/22,, $76.28 , $76.43 ,76.54,0,0, $-   , $(1.66), $76.28 , $(1.66), $33.01 
11/28/22,, $77.24 , $77.33 ,77.24,0,0, $-   , $0.96 , $77.24 , $0.96 , $33.97 
11/29/22,, $78.20 , $78.28 ,78.24,0,0, $-   , $0.96 , $78.20 , $0.96 , $34.93 
11/30/22,, $80.55 , $80.66 ,80.71,0,0, $-   , $2.35 , $80.55 , $2.35 , $37.28 
12/1/22,, $81.22 , $81.14 ,80.85,0,0, $-   , $0.67 , $81.22 , $0.67 , $37.95 
12/2/22,, $79.98 , $80.05 ,80.02,0,0, $-   , $(1.24), $79.98 , $(1.24), $36.71 
12/5/22,, $76.93 , $77.08 ,77.31,0,0, $-   , $(3.05), $76.93 , $(3.05), $33.66 
12/6/22,, $74.25 , $74.46 ,74.75,0,0, $-   , $(2.68), $74.25 , $(2.68), $30.98 
12/7/22,, $72.01 , $72.28 ,72.72,0,0, $-   , $(2.24), $72.01 , $(2.24), $28.74 
12/8/22,, $71.46 , $71.58 ,71.9,0,0, $-   , $(0.55), $71.46 , $(0.55), $28.19 
12/9/22,, $71.02 , $71.21 ,71.67,0,0, $-   , $(0.44), $71.02 , $(0.44), $27.75 
12/12/22,, $73.17 , $73.28 ,73.63,0,0, $-   , $2.15 , $73.17 , $2.15 , $29.90 
12/13/22,, $75.39 , $75.44 ,75.67,1,1, $0.02 , $2.22 , $75.39 , $2.22 , $32.10 
12/14/22,, $77.28 , $77.31 ,77.28,0,2, $-   , $1.89 , $77.28 , $1.87 , $33.97 
12/15/22,, $76.11 , $76.15 ,75.99,0,3, $-   , $(1.17), $76.11 , $(1.16), $32.81 
12/16/22,, $74.29 , $74.46 ,74.52,0,4, $-   , $(1.82), $74.29 , $(1.69), $31.12 
12/19/22,, $75.19 , $75.38 ,75.38,0,5, $-   , $0.90 , $75.19 , $0.92 , $32.04 
12/20/22,, $76.09 , $76.23 ,76.16,2,0, $-   , $0.90 , $76.09 , $0.85 , $32.89 
12/21/22,, $78.29 , $78.24 ,77.82,0,0, $-   , $2.20 , $78.29 , $2.06 , $34.95 
12/22/22,, $77.49 , $77.42 ,76.99,0,0, $-   , $(0.80), $77.49 , $(0.80), $34.15 
12/23/22,, $79.56 , $79.64 ,79.42,0,0, $-   , $2.07 , $79.56 , $2.07 , $36.22 
12/27/22,, $79.53 , $79.64 ,79.57,0,0, $-   , $(0.03), $79.53 , $(0.03), $36.19 
12/28/22,, $78.96 , $79.08 ,79.05,0,0, $-   , $(0.57), $78.96 , $(0.57), $35.62 
12/29/22,, $78.40 , $78.50 ,78.46,0,0, $-   , $(0.56), $78.40 , $(0.56), $35.06 
12/30/22,, $80.26 , $80.45 ,80.45,0,0, $-   , $1.86 , $80.26 , $1.86 , $36.92 
1/3/23,, $76.93 , $77.12 ,77.33,0,0, $-   , $(3.33), $76.93 , $(3.33), $33.59 
1/4/23,, $72.84 , $73.10 ,73.51,0,0, $-   , $(4.09), $72.84 , $(4.09), $29.50 
1/5/23,, $73.67 , $73.92 ,74.3,0,0, $-   , $0.83 , $73.67 , $0.83 , $30.33 
1/6/23,, $73.77 , $74.04 ,74.44,0,0, $-   , $0.10 , $73.77 , $0.10 , $30.43 
1/9/23,, $74.63 , $74.92 ,75.39,0,0, $-   , $0.86 , $74.63 , $0.86 , $31.29 
1/10/23,, $75.12 , $75.37 ,75.77,0,0, $-   , $0.49 , $75.12 , $0.49 , $31.78 
1/11/23,, $77.41 , $77.68 ,78.04,0,0, $-   , $2.29 , $77.41 , $2.29 , $34.07 
1/12/23,, $78.39 , $78.65 ,79,1,1, $0.02 , $0.98 , $78.39 , $0.98 , $35.03 
1/13/23,, $79.86 , $80.11 ,80.38,0,2, $-   , $1.47 , $79.86 , $1.46 , $36.49 
1/17/23,, $80.18 , $80.45 ,80.71,0,3, $-   , $0.32 , $80.18 , $0.34 , $36.83 
1/18/23,, $79.48 , $79.80 ,80.16,0,4, $-   , $(0.70), $79.48 , $(0.65), $36.18 
1/19/23,, $80.33 , $80.61 ,80.99,0,5, $-   , $0.85 , $80.33 , $0.81 , $36.99 
1/20/23,, $81.31 , $81.64 ,82,2,0, $-   , $0.98 , $81.31 , $1.03 , $38.02 
1/23/23,, $81.62 , $81.93 ,82.14,0,0, $-   , $0.31 , $81.62 , $(0.02), $38.00 
1/24/23,, $80.13 , $80.44 ,80.65,0,0, $-   , $(1.49), $80.13 , $(1.49), $36.51 
1/25/23,, $80.15 , $80.44 ,80.61,0,0, $-   , $0.02 , $80.15 , $0.02 , $36.53 
1/26/23,, $81.01 , $81.28 ,81.38,0,0, $-   , $0.86 , $81.01 , $0.86 , $37.39 
1/27/23,, $79.68 , $79.96 ,80.08,0,0, $-   , $(1.33), $79.68 , $(1.33), $36.06 
1/30/23,, $77.90 , $78.18 ,78.34,0,0, $-   , $(1.78), $77.90 , $(1.78), $34.28 
1/31/23,, $78.87 , $79.17 ,79.36,0,0, $-   , $0.97 , $78.87 , $0.97 , $35.25 
2/1/23,, $76.41 , $76.73 ,76.92,0,0, $-   , $(2.46), $76.41 , $(2.46), $32.79 
2/2/23,, $75.88 , $76.20 ,76.45,0,0, $-   , $(0.53), $75.88 , $(0.53), $32.26 
2/3/23,, $73.39 , $73.74 ,74.05,0,0, $-   , $(2.49), $73.39 , $(2.49), $29.77 
2/6/23,, $74.11 , $74.47 ,74.83,0,0, $-   , $0.72 , $74.11 , $0.72 , $30.49 
2/7/23,, $77.14 , $77.39 ,77.56,0,0, $-   , $3.03 , $77.14 , $3.03 , $33.52 
2/8/23,, $78.47 , $78.69 ,78.81,0,0, $-   , $1.33 , $78.47 , $1.33 , $34.85 
2/9/23,, $78.06 , $78.27 ,78.35,0,0, $-   , $(0.41), $78.06 , $(0.41), $34.44 
2/10/23,, $79.72 , $79.92 ,79.95,0,0, $-   , $1.66 , $79.72 , $1.66 , $36.10 
2/13/23,, $80.14 , $80.33 ,80.36,1,1, $0.02 , $0.42 , $80.14 , $0.42 , $36.50 
2/14/23,, $79.06 , $79.24 ,79.37,0,2, $-   , $(1.08), $79.06 , $(1.09), $35.41 
